word|punctuation_before|pause_before|pause_before_norm|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
if|.|0.0|0.0|9.0769|0.8787|9.8329|0.2639|1.3444|16.0145|16.0145|5.3972|0.9198
you||0.0|0.0|10.9071|3.3339|3.3339|1.2146|8.9501|14.4523|18.8158|4.6318|0.9198
do||0.0|0.0|13.2135|2.0242|5.2444|0.7437|12.1784|3.0632|14.4523|1.0718|0.6788
that||0.0|0.0|11.745|5.6768|5.6768|1.9822|3.7061|28.4816|28.7125|9.9441|-0.0428
tomorrow||0.0|0.0|11.8297|4.4907|5.718|1.3031|7.5754|27.0302|28.8548|6.5169|-0.0739
i'll|,|0.0|0.0|10.5309|5.622|5.6346|1.5382|4.6822|17.3462|27.0302|6.6177|-0.5017
be||0.0|0.0|12.2779|8.0322|8.0404|2.1294|9.7454|8.6498|17.3462|3.3346|-0.2121
dead||0.0|0.0|-2.436|10.4953|19.489|2.9652|8.4874|18.8372|18.8372|5.248|-0.684
you'll|,|0.0|0.0|2.2564|7.9271|10.4953|2.2792|12.1227|4.3933|18.8372|1.9265|0.1797
be||0.0|0.0|0.444|1.7819|7.9271|0.4805|8.6127|1.1657|6.2662|0.4592|0.3189
dead||0.0|0.0|0.0|0.0|1.7848|0.0|0.0|0.0|9.1574|0.0|-0.6531
every|,|0.0|0.0|11.0702|7.6001|13.8556|1.7496|8.7162|14.0992|14.2772|3.6355|0.2695
single||0.0|0.0|11.2281|5.4159|7.9986|1.4414|7.8445|25.8171|25.8171|7.986|-0.3156
one||0.0|0.0|12.9018|4.403|5.4159|1.1417|9.9543|8.5768|25.8171|2.6219|-0.0428
of||0.0|0.0|9.7101|5.6077|7.4389|1.9606|8.367|8.6621|9.679|3.078|1.2213
the||0.0|0.0|9.3678|4.7984|5.7724|1.7128|6.7498|11.9838|11.9838|3.8989|0.6788
men||0.0|0.0|12.7168|3.5769|7.4828|1.2294|11.7983|7.1018|12.3322|1.7625|-0.4547
will||0.0|0.0|10.8012|6.6434|8.2037|2.1465|12.7874|3.5568|7.1018|0.7893|0.1797
be||0.0|0.0|6.7186|3.5951|7.9044|1.1107|12.5025|1.6124|3.5568|0.4135|0.3189
dead||0.0|0.0|3.7175|2.8475|6.3344|0.9115|1.8325|22.6722|23.6824|7.5758|-1.0695
